,base_asset,compare_asset,label
40005,HRTG,SELF,0
40006,HRTG,SOTK,0
40007,HRTG,SWKH,0
40008,HRTG,WSTG,0
40009,HRTG,ZIVO,0
40010,HRTX,IMMR,0
40011,HRTX,MNOV,0
40012,HRTX,MTRX,0
40013,HRTX,NERV,0
40014,HRTX,SIEB,0
40015,HSDT,HSTO,0
40016,HSDT,HTGM,0
40004,HRTG,PCSA,0
40164,HTGM,RAIL,0
40165,HTGM,REED,0
40166,HTGM,RMAX,0
40314,HUSA,TTSH,0
40315,HUSA,UPLD,0
40316,HUSA,UTMD,0
40317,HUSA,VBLT,0
40318,HUSA,VIRC,0
40319,HUSA,VISL,0
40320,HUSA,VIVE,0
40321,HUSA,VKTX,0
40322,HUSA,VRDN,0
40323,HUSA,VYNT,0
40324,HUSA,WHLM,0
40325,HUSA,WHLR,0
40326,HUSA,WORX,0
40327,HUSA,WSTL,0
40328,HUSA,XBIT,0
40329,HUSA,XELB,0
40330,HUSA,XSPA,0
40331,HUSA,YTEN,0
40332,HUSA,YTRA,0
40333,HUSA,ZYXI,0
40334,HWBK,IDRA,0
40335,HWBK,KPRX,0
40336,HWBK,LGMK,0
40337,HWBK,LMST,0
40338,HWBK,LTRX,0
40313,HUSA,TTNP,0
40339,HWBK,MFIN,0
40312,HUSA,TRUE,0
40310,HUSA,TEDU,0
40285,HUSA,RELV,0
40286,HUSA,RFIL,0
40287,HUSA,RGLS,0
40288,HUSA,RSLS,0
40289,HUSA,RSSS,0
40290,HUSA,RWLK,0
40291,HUSA,RZLT,0
40292,HUSA,SALM,0
40293,HUSA,SCOR,0
40294,HUSA,SELB,0
40295,HUSA,SIOX,0
40296,HUSA,SISI,0
40297,HUSA,SLNG,0
40298,HUSA,SLRX,0
40299,HUSA,SMLP,0
40300,HUSA,SMSI,0
40301,HUSA,SMTC,0
40302,HUSA,SNDA,0
40303,HUSA,SNOA,0
40304,HUSA,SRNE,0
40305,HUSA,STAF,0
40306,HUSA,STON,0
40307,HUSA,STRR,0
40308,HUSA,STXS,0
40309,HUSA,TATT,0
40311,HUSA,THMO,0
40340,HWBK,NBSE,0
40341,HWBK,NGVC,0
40342,HWBK,NICK,0
40373,HWBK,STAF,0
40374,HWBK,SYRS,0
40375,HWBK,TAIT,0
40376,HWBK,TCCO,0
40377,HWBK,TRVN,0
40378,HWBK,TYME,0
40379,HWBK,UEIC,0
40380,HWBK,VBIV,0
40381,HWBK,VISL,0
40382,HWBK,VTVT,0
40383,HWBK,VYNT,0
40384,HWBK,WVFC,0
40385,HWBK,ZEST,0
40386,HWBK,ZIVO,0
40387,IBIO,IVAC,0
40388,IBIO,JAGX,0
40389,IBIO,KPRX,0
40390,IBIO,KSPN,0
40391,IBIO,LITB,0
40392,IBIO,LPCN,0
40393,IBIO,MDXG,0
40394,IBIO,MFIN,0
40395,IBIO,MICS,0
40396,IBIO,MIGI,0
40397,IBIO,MPAA,0
40372,HWBK,SRTS,0
40371,HWBK,SPCB,0
40370,HWBK,SOTK,0
40369,HWBK,SNGX,0
40343,HWBK,NLTX,0
40344,HWBK,NNBR,0
40345,HWBK,NSYS,0
40346,HWBK,NXTP,0
40347,HWBK,NYMX,0
40348,HWBK,ONCS,0
40349,HWBK,ONCY,0
40350,HWBK,ORGS,0
40351,HWBK,OSUR,0
40352,HWBK,PBLA,0
40353,HWBK,PBYI,0
40354,HWBK,PERI,0
40284,HUSA,REFR,0
40355,HWBK,PLSE,0
40357,HWBK,PRTK,0
40358,HWBK,QNRX,0
40359,HWBK,QRHC,0
40360,HWBK,RLGT,0
40361,HWBK,RMAX,0
40362,HWBK,RZLT,0
40363,HWBK,SANG,0
40364,HWBK,SELF,0
40365,HWBK,SIGA,0
40366,HWBK,SLNO,0
40367,HWBK,SMID,0
40368,HWBK,SMMT,0
40356,HWBK,PRPH,0
40283,HUSA,RAIL,0
40282,HUSA,QUIK,0
40281,HUSA,PULM,0
40197,HTGM,TWIN,0
40198,HTGM,TXMD,0
40199,HTGM,TYME,0
40200,HTGM,UFAB,0
40201,HTGM,USEG,0
40202,HTGM,UTSI,0
40203,HTGM,VERB,0
40204,HTGM,VIRX,0
40205,HTGM,VISL,0
40206,HTGM,VJET,0
40207,HTGM,VRDN,0
40208,HTGM,WATT,0
40209,HTGM,WHLM,0
40210,HTGM,WILC,0
40211,HTGM,WSTL,0
40212,HTGM,WTRH,0
40213,HTGM,XBIO,0
40214,HTGM,XELA,0
40215,HTGM,YGYI,0
40216,HTGM,YMTX,0
40217,HTGM,YTRA,0
40218,HTGM,ZYXI,0
40219,HURC,LMNR,0
40220,HURC,MNTX,0
40221,HURC,MRNS,0
40196,HTGM,TUSK,0
40195,HTGM,TTOO,0
40194,HTGM,TRUE,0
40193,HTGM,TPST,0
40167,HTGM,RMTI,0
40168,HTGM,RNWK,0
40169,HTGM,RRGB,0
40170,HTGM,RWLK,0
40171,HTGM,RYAM,0
40172,HTGM,SCYX,0
40173,HTGM,SDPI,0
40174,HTGM,SHIP,0
40175,HTGM,SLRX,0
40176,HTGM,SMIT,0
40177,HTGM,SMLP,0
40178,HTGM,SNDA,0
40222,HURC,NATH,0
40179,HTGM,SNMP,0
40181,HTGM,SONN,0
40182,HTGM,SPOK,0
40183,HTGM,STON,0
40184,HTGM,SYBX,0
40185,HTGM,TAIT,0
40186,HTGM,TARA,0
40187,HTGM,TESS,0
40188,HTGM,THTX,0
40189,HTGM,TISI,0
40190,HTGM,TMDI,0
40191,HTGM,TOUR,0
40192,HTGM,TPHS,0
40180,HTGM,SOHO,0
39932,HNRG,KRMD,0
40223,HURC,PALT,0
40225,HURC,RCRT,0
40256,HUSA,MSVB,0
40257,HUSA,MYMD,0
40258,HUSA,NAVB,0
40259,HUSA,NBRV,0
40260,HUSA,NDLS,0
40261,HUSA,NEPH,0
40262,HUSA,NNVC,0
40263,HUSA,NOVN,0
40264,HUSA,NRBO,0
40265,HUSA,NURO,0
40266,HUSA,NWPX,0
40267,HUSA,NXPL,0
40268,HUSA,OCUP,0
40269,HUSA,OGEN,0
40270,HUSA,ONTX,0
40271,HUSA,ONVO,0
40272,HUSA,OPOF,0
40273,HUSA,PALI,0
40274,HUSA,PCYG,0
40275,HUSA,PCYO,0
40276,HUSA,PDSB,0
40277,HUSA,PESI,0
40278,HUSA,PLAG,0
40279,HUSA,POAI,0
40280,HUSA,PRTK,0
40255,HUSA,MRIN,0
40254,HUSA,MRAM,0
40253,HUSA,MMLP,0
40252,HUSA,MHLD,0
40226,HURC,THTX,0
40227,HURC,VRME,0
40228,HUSA,ICAD,0
40229,HUSA,IDRA,0
40230,HUSA,INFU,0
40231,HUSA,INSG,0
40232,HUSA,IPWR,0
40233,HUSA,IVAC,0
40234,HUSA,JAGX,0
40235,HUSA,JAKK,0
40236,HUSA,KDNY,0
40237,HUSA,KFFB,0
40224,HURC,QBAK,0
40238,HUSA,KRMD,0
40240,HUSA,LIFE,0
40241,HUSA,LIQT,0
40242,HUSA,LIXT,0
40243,HUSA,LMFA,0
40244,HUSA,LMNL,0
40245,HUSA,LTBR,0
40246,HUSA,LUNA,0
40247,HUSA,LWAY,0
40248,HUSA,LXFR,0
40249,HUSA,LXRX,0
40250,HUSA,MAYS,0
40251,HUSA,MEDS,0
40239,HUSA,LFVN,0
39931,HNRG,INSG,0
39930,HNNA,ZYXI,0
39929,HNNA,YELL,0
39610,HEPA,MGYR,0
